"","abcb4","abcc2","abcg2a","adgrl1a","agtr1b","aoc2","aplnrb","bcl6b","cldn5a","cxcr4b","dab2","dll4","eGFP","ehd2b","ehd3","esm1","fgf4","hey1","hey2","kdrl","lypd6","myo1hb","osr2","pdgfrb","pecam1","plvapb","prdx1","slc16a1a","slc2a1a","slc7a5","slco1c1","slco1d1","spock3","stab1","stab2","sult2st1","zgc.158423","zic2b","y","x","blood","cell_type","cor"
"cell_13246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8009,6369,"blood_230","CapEC",0.006
"cell_13270",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8008,6461,"blood_230","UnEC",0.051
"cell_13274",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,8010,6448,"blood_230","CapEC",0.3
"cell_13277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8014,6433,"blood_230","AEC",0.213
"cell_13293",0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,1,0,1,0,0,8016,6407,"blood_230","AEC",0.164
"cell_13313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,8017,6391,"blood_230","CapEC",0.063
"cell_13350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,8020,6433,"blood_230","VEC_2",0.085
"cell_13368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8025,7167,"blood_255","AEC",0.124
"cell_13370",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8026,6344,"blood_230","CapEC",0.062
"cell_13375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8025,6365,"blood_230","other",-0.027
"cell_13467",0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,2,0,0,0,0,8036,6406,"blood_230","VEC_2",0.153
